code	ingredients_text
20424640	 _Haselnusskerne_
20424640	 stark entöltes Kakaopulver
20424640	 Emulgator: Lecithine 
20424640	_Soja_
20424640	 Glukosesirup
20424640	 _Mandeln_
20424640	 _Pisatazien_
20424640	 Aroma
20424640	 _Magermilchpulver_
20424640	 Kaffee
27533024	Demerara Sugar
27533024	 Sultanas 
27533024	 Raisins 
27533024	 Bread Rusk 
27533024	Fortified Wheat Flour 
27533024	_Wheat Flour_
27533024	 Calcium Carbonate
27533024	 Iron
27533024	 Niacin 
27533024	 Thiamin 
27533024	 Salt
27533024	 Yeast
27533024	 Cider
27533024	 Currants 
27533024	 Sherry 
27533024	 Palm Oil
27533024	 Cognac 
27533024	 Glacé Cherries 
27533024	Cherries
27533024	 Glucose-Fructose Syrup
27533024	 Colour 
27533024	Anthocyanins
27533024	 Acidity Regulator 
27533024	Citric Acid
27533024	 Single Cream 
27533024	from _Milk_
27533024	 _Walnuts_ 
27533024	 _Almonds_ 
27533024	_Nut_
27533024	 Fortified Wheat Flour 
27533024	_Wheat Flour_
27533024	 Calcium Carbonate
27533024	 Iron
27533024	 Niacin 
27533024	 Thramin 
27533024	 Brandy 
27533024	 Rum 
27533024	 Treacle
27533024	 Candied Citrus Peel 
27533024	Glucose Syrup
27533024	 Orange Peel
27533024	 Sugar
27533024	 Lemon Peel
27533024	 Acidity Regulator 
27533024	Citric Acid
27533024	 _Barley_ Malt Extract
27533024	 Mixed Spice 
27533024	Coriander
27533024	 Cinnamon
27533024	 Cloves
27533024	 Fennel
27533024	 Ginger
27533024	 Nutmeg
27533024	 Cardamom
27533024	 Salt
27533024	 Lemon Oil
27533024	 Orange Oil
40608754	Eau gazéifiée
40608754	 sucre
40608754	 colorant caramel E150d
40608754	 acidifiant : acide phosphorique
40608754	 arômes 
40608754	dont : extraits naturels de végétaux
40608754	 caféine
50985098	sugar
50985098	 glucose syrup
50985098	 flavourings
50985098	 acids 
50985098	lactic
50985098	 citric
50985098	 acidity regulators 
54491472	carbonated water
54491472	 sugar
54491472	 colour 
54491472	caramel e150d
54491472	 phosphoric acid
54491472	 natural flavourings including caffeine
54491496	carbonated water
54491496	 caramel e150d
54491496	 aspartame acesulfame k
54491496	 natural flavoiring including caffeine
54491496	 phosphoric acid
54491496	 citric acid
75001629	malted barley
75001629	 water
75001629	 hops
75001629	 yeast
80007838	acqua
80135876	nuts
80135876	 cocoa
80135876	 milk powder
84154071	Agua
84154071	 vinagre
84154071	 _mostaza_
84154071	 azúcares
84154071	 sal
84154071	 especias y extracto de especias
87177756	Eau gazéifiée
87177756	 sucre
87177756	 acidifiants 
87177756	acide citrique
