code	idIngrediente
27533024	296
27533024	297
27533024	298
27533024	299
27533024	300
27533024	301
27533024	33
27533024	34
27533024	304
27533024	305
27533024	49
27533024	307
27533024	308
27533024	309
27533024	310
27533024	39
27533024	312
27533024	313
27533024	314
27533024	143
27533024	316
27533024	317
27533024	318
27533024	319
27533024	320
27533024	321
27533024	322
27533024	323
27533024	324
27533024	325
27533024	301
27533024	33
27533024	34
27533024	304
27533024	326
27533024	327
27533024	328
27533024	329
27533024	330
27533024	331
27533024	56
27533024	38
27533024	58
27533024	318
27533024	319
27533024	335
27533024	336
27533024	337
27533024	338
27533024	339
27533024	340
27533024	50
27533024	342
27533024	343
27533024	49
27533024	344
27533024	345
40608754	174
40608754	92
40608754	346
40608754	347
40608754	348
40608754	349
40608754	350
50985098	2
50985098	45
50985098	55
50985098	351
50985098	352
50985098	353
50985098	354
54491472	355
54491472	38
54491472	316
54491472	357
54491472	358
54491472	359
54491496	355
54491496	360
54491496	361
54491496	362
54491496	358
54491496	145
75001629	363
75001629	364
75001629	365
75001629	307
80007838	367
80135876	368
80135876	369
80135876	370
84154071	371
84154071	372
84154071	373
84154071	374
84154071	375
84154071	376
87177756	174
87177756	92
87177756	377
87177756	378
87177756	379
87177756	348
87177756	380
87177756	381
87177756	382
93718738	6
93718738	383
93718738	384
93718738	38
93718738	385
93718738	49
93718738	386
93718738	387
93718738	388
93718738	389
93718738	19
93718738	390
93718738	391
93718738	392
204286484	393
204286484	394
204286484	395
204286484	396
204286484	397
204286484	398
204286484	399
204286484	400
204286484	401
204286484	280
204286484	402
204286484	403
2929	404
30	405
30	406
30	407
30	92
30	408
30	409
30	407
30	52
30	410
30	411
30	412
30	74
30	413
30	414
30	415
31	416
31	417
31	418
31	419
31	420
31	421
31	410
31	92
31	422
31	423
31	#N/A
31	425
31	426
31	407
31	427
31	92
31	410
31	411
31	428
31	74
31	414
31	429
31	430
3100	431
3100	69
3100	432
3100	74
