code	product_name	quantity	brands	origins	tipo embalagem
24679	Yorkshire Gold	500 ml	Marks & Spencer		bucket
25157	Pizza Parlanno	1 LB (517 g)	Trader Giotto's		Brique
25751	Honey roast ham	120 g	Marks & Spencer	Royaume-Uni	 film 
28264	Gluten Free Melba Toasts With Apricots & Cashew Nuts	125 g	Marks & Spencer		tray 
2983542515	100% Soja Protein Neutral	2 kg	allfitnessfactory.de	Germany	box
31858	Pur Soup' Velouté de légumes	60cl	Liebig		Frais
33046	British Beef Braising Steak	450 g	Marks & Spencer	United Kingdom	label
36559	Mac 'n Cheese	397 g	Joe's Diner		bag
41500007007	Yellow Mustard	9 OZ (25.5g)	Heinz		Bottle
43366	Salade Mexicaine de Riz, Quinoa et Avocat	205 g e	Marks & Spencer		Bottle
4394	tree ripened papaya	1 papaya	sainsbury's	brazil	Sachet
53327	British plain flour	1.5 kg	sainsbury's		
64491	Sunflower oil	1 l	Sainsbury's		Boîte
65269	Pancakes au Chocolat belge	320 g	Marks & Spencer		
68789	Rollmop Herrings	280 g	Marks & Spencer		barquette
71093	Hollow Milk Chocolate Decorated R2D2 Figure	215 g e	Marks & Spencer		Frais
71185	Spiketail the Dinosaur	205 g e	Marks & Spencer		Jar
73455	grilled Cajun chicken breast, spicy wedges & sour cream	350 g	Marks & Spencer	Europe,Royaume-Uni	Barquette wrap
73899	Cornish Cove Cheddar	200 g e	Marks & Spencer	Royaume-Uni	Frais
74742	Taste the Difference Raspberry Conserve	340g	Sainsbury's		Bottle
76630	Broccoli	335g	Sainsbury's	Scotland	Bouteille
78115	Mild Cheddar with Onions & Chives	160 g	Marks & Spencer	Royaume-Uni	Bag
8274000078	Extra Ginger Beer Reed's	12 fl oz	Reed's		
8295616241	Balsamic vinegar of Modena	250 ml	De Nigris		
88862	British plain flour	500g	Sainsbury's		
88978	Fresh Drinking Coconut	1 pièce	Marks & Spencer		Plastic
90100	Pulled Pork & Chorizo Feijoada	400 g	Marks & Spencer,M&S	Espagne,Royaume-Uni	jar
9073102963	sharon's sorbet mango	16 oz	sharon's sorbet		jar
9138378043	Rainbow Cherry	0.75 oz (22 g)			Card
9300003346	Petite Snack Crunchers Kosher Dills	16 fl. oz (1 pt) 473 mL	Mt. Olive		Box
9300128896	Kosher Dills	1 gallon (3.78 L)	Mt. Olive		Pot
9542018054	Creme Brulee	3.5 OZ (100g)	Lindt & Sprungli Sas		
9542018061	Creation Hazelnut Torte Milk Chocolate	3.5 OZ (100g)	Lindt & Sprungli Sas		sachet
9542018085	Molten Lava Cake	3.5 OZ (100g)	Lindt & Sprungli Sas		Pot
9800801107	Mini Cups	10 MINI CUPS - 5.2 OZ (150 g)	Ferrero		Boîte
9800892204	Nutella	1 kg	Ferrero		Boîte
9800895007	Nutella	13 oz	Ferrero		Frais
9800895250	Nutella	750 g	Ferrero		
99233	Cheese Twists	125 g e	Marks & Spencer		Card
99332	Wrap Poulet à la Jamaïcaine	231 g	Marks & Spencer	Grande Bretagne	box
104456	Haggis	454 g	Marks & Spencer		card
10700021526	Milk Duds	5 OZ (141 g)	The Hershey Company		
10700024404	Whoppers	5 OZ (141 g)	The Hershey Company		pot
10700088130	Good & Plenty	6 OZ (170 g)	The Hershey Company		Bag
10852997489	Cream on Top strawberry Organic Yogurt	6 oz (170 g)	Clover Organic Farms		Bag
11110001207	White enriched bread	20 oz	Kroger		
11110001986	Light Rye	24 oz	Kroger		Bag
11110019516	nuts	340g			
11110020109	Hamburger enriched buns	12 oz	Kroger		
